"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","data","date","data_type"
"CCSP","A14","NEFU","F",1.240549248,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A14","NEFU","F",1.240549248,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","A143","NEFU","F",2.519171464,"A",NA,0,NA,0,1,36,1,1,23,1,2,59,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,3.61091791264422,3.17805383034795,84.8209991455078,"2018-04-01","ppt"
"CCSP","A143","NEFU","F",2.519171464,"A",NA,0,NA,0,1,36,1,1,23,1,2,59,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,3.61091791264422,3.17805383034795,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A143","NEFU","F",2.519171464,"A",NA,0,NA,0,1,36,1,1,23,1,2,59,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,3.61091791264422,3.17805383034795,13.9700002670288,"2018-04-01","tmean"
"CCSP","A144","PERO","F",1.29666519,"A",0,0,NA,0,0,0,0,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","A144","PERO","F",1.29666519,"A",0,0,NA,0,0,0,0,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A144","PERO","F",1.29666519,"A",0,0,NA,0,0,0,0,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","A145","PERO","M",1.290034611,"A",0,0,NA,0,NA,NA,NA,1,3,1,1,3,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.38629436111989,84.8209991455078,"2018-04-01","ppt"
"CCSP","A145","PERO","M",1.290034611,"A",0,0,NA,0,NA,NA,NA,1,3,1,1,3,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.38629436111989,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A145","PERO","M",1.290034611,"A",0,0,NA,0,NA,NA,NA,1,3,1,1,3,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.38629436111989,13.9700002670288,"2018-04-01","tmean"
"CCSP","A147","PERO","M",1.252853031,"A",0,0,NA,0,NA,NA,NA,1,4,1,1,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.6094379124341,84.8209991455078,"2018-04-01","ppt"
"CCSP","A147","PERO","M",1.252853031,"A",0,0,NA,0,NA,NA,NA,1,4,1,1,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.6094379124341,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A147","PERO","M",1.252853031,"A",0,0,NA,0,NA,NA,NA,1,4,1,1,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.6094379124341,13.9700002670288,"2018-04-01","tmean"
