"id","site","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","date","species","overall_infection"
"2391","JSCP","PERO","F",1.531478917,"A",NA,0,0,0,NA,NA,NA,1,2,1,1,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,1.09861228866811,"4/9/18","PETR","Negative"
"2393","JSCP","NEFU","M",2.615950052,"A",0,1,1,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0,"4/9/18","NEFU","BBSL"
"2396","JSCP","PERO","F",1.447158031,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"2801","HOS","PERO","F",1.498310554,"A",0,0,0,0,NA,NA,NA,1,6,2,2,6,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.94591014905531,"4/30/18","PETR","Negative"
"2817","HOS","NEFU","F",2.389166084,"A",0,1,0,1,1,8,1,0,0,0,2,8,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,2.19722457733622,0,"4/30/18","NEFU","BBSL"
"2826","HOS","NEFU","F",2.352182518,"A",0,1,0,1,1,10,1,1,3,1,3,13,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,2.39789527279837,1.38629436111989,"4/30/18","NEFU","BBSL"
"2829","HOS","NEFU","F",2.475671188,"A",NA,1,0,1,NA,NA,NA,1,7,1,2,7,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,2.07944154167984,"4/30/18","NEFU","BBSL"
"2831","HOS","NEFU","M",2.568201724,"A",0,1,0,1,1,6,1,1,12,1,3,18,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,1.94591014905531,2.56494935746154,"4/30/18","NEFU","BBSL"
"2833","JSCP","NEFU","F",2.45331834,"A",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","NEFU","NA"
"2836","HOS","NEFU","M",2.580354661,"A",NA,1,0,1,NA,NA,NA,1,9,2,3,9,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,2.30258509299405,"4/30/18","NEFU","BBSL"
"2841","TUP","NEFU","M",2.361727836,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","NEFU","Negative"
"2844","TUP","NEFU","F",2.371067862,"A",NA,0,NA,0,1,1,1,0,0,0,1,1,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,0.693147180559945,0,"4/15/18","NEFU","Negative"
