"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log"
"HOS","A324","PERO","F",1.484299839,"A",NA,0,0,0,0,0,0,1,3,2,2,3,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,1.38629436111989
"HOS","A325","NEFU","F",2.181843588,"A",NA,0,0,0,0,0,0,1,1,1,1,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,0.693147180559945
"HOS","A48","NEFU","M",2.01911629,"J",NA,0,0,0,NA,NA,NA,1,1,1,1,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0.693147180559945
"HOS","A49","PERO","M",1.469822016,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
"HOS","A50","PERO","M",1.40654018,"A",NA,1,0,1,0,0,0,1,2,1,2,2,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,1.09861228866811
"HOS","A53","PERO","M",1.401400541,"A",0,1,0,1,0,0,0,1,1,1,2,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,0.693147180559945
"HOS","A54","NEFU","F",2.499687083,"A",NA,1,0,1,0,0,0,1,11,1,2,11,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,2.484906649788
"HOS","A55","NEFU","M",2.049218023,"J",0,0,0,0,NA,NA,NA,1,5,1,1,5,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.79175946922805
"HOS","A56","NEFU","M",2.491361694,"A",NA,1,1,1,1,5,1,1,2,1,3,7,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,1.79175946922805,1.09861228866811
"HOS","A57","PERO","M",1.439332694,"A",NA,0,0,0,NA,NA,NA,1,1,1,1,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0.693147180559945
"HOS","A571","PERO","F",1.414973348,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
"HOS","A573","NEFU","F",2.334453751,"A",NA,0,0,0,0,0,0,1,1,1,1,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,0.693147180559945
"HOS","A574","PERO","M",1.609594409,"A",1,0,0,1,1,3,1,1,1,1,3,4,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,1.38629436111989,0.693147180559945
"HOS","A58","PERO","M",1.67669361,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
